"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","161.82733281634913","159.86048282346704","0.1358642578125","0.1591796875","0.112548828125","1560","0.00014879331121842116","32","0.00014879331121842116","0","0.00014879331121842116","0.00014879331121842116","15:0.0019490210762811155;1:0.002060316876671492","15:68;1:68","15:0.0023419273138650942;1:0.0020182303073589813","0.1358642578125","Yes"
"1","224.45701070889675","170.68021015662723","0.0621337890625","0.03759765625","0.086669921875","1560","0.00015533377161260106","32","0.00015533377161260106","0","0.00015533377161260106","0.00015533377161260106","2:0.002929306291442446;0:0.002060316876671492","2:68;0:68","2:0.003041198098296588;0:0.0020182303073589813","0.0621337890625","Yes"
"2","54.792740536660375","71.6123446000555","0.0472412109375","0.07275390625","0.021728515625","1560","0.00043201524557125913","32","0.00043201524557125913","0","0.00043201524557125913","0.00043201524557125913","1:0.002929306291442446;3:0.001959640876668195","1:68;3:68","1:0.003041198098296588;3:0.0022690103917754334","0.0472412109375","Yes"
"3","193.88887828630055","178.71151567565286","0.01953125","0.023681640625","0.015380859375","1560","0.0002400782936362933","32","0.0002400782936362933","0","0.0002400782936362933","0.0002400782936362933","2:0.001959640876668195;4:0.0021118194535944546","2:68;4:68","2:0.0022690103917754334;4:0.002026312155445742","0.01953125","Yes"
"4","108.37069417960143","141.6754318411871","0.0472412109375","0.050048828125","0.04443359375","1560","0.00021318916212061375","32","0.00021318916212061375","0","0.00021318916212061375","0.00021318916212061375","3:0.0021118194535944546;5:0.0023354166192627313;16:0.0020266647013158223","3:68;5:68;16:80","3:0.002026312155445742;5:0.002715446464413074;16:0.0018067934672253982","0.0472412109375","Yes"
"5","286.4317698176364","272.0050004542978","0.0296630859375","0.019775390625","0.03955078125","1560","0.00022900659980055197","32","0.00022900659980055197","0","0.00022900659980055197","0.00022900659980055197","6:0.0027422557765902356;4:0.0023354166192627313","6:68;4:68","6:0.0020162391547832448;4:0.002715446464413074","0.0296630859375","Yes"
"6","49.351495345147995","91.1318171688966","0.0150146484375","0.0283203125","0.00341796875","1560","0.0006725982769465227","32","0.0006725982769465227","0","0.0006725982769465227","0.0006725982769465227","5:0.0027422557765902356;7:0.0024886329020904485","5:68;7:68","5:0.0020162391547832448;7:0.0026856057251839482","0.0150146484375","Yes"
"7","222.64263392723623","128.47378692934498","0.0877685546875","0.06640625","0.109130859375","1560","0.0006029807544083895","32","0.0006029807544083895","0","0.0006029807544083895","0.0006029807544083895","6:0.0024886329020904485;8:0.0022972958880757843","6:68;8:68","6:0.0026856057251839482;8:0.0026177420189747724","0.0877685546875","Yes"
"8","276.9242719002349","230.2580313392429","0.072509765625","0.0546875","0.09033203125","1560","0.0003490623210141387","32","0.0003490623210141387","0","0.0003490623210141387","0.0003490623210141387","9:0.0026968197385730808;17:0.002608132653492773;7:0.0022972958880757843","9:68;17:108;7:68","9:0.0024704302210911133;17:0.0031350524184699524;7:0.0026177420189747724","0.072509765625","Yes"
"9","118.26290559611287","117.87902558844021","0.0211181640625","0.0390625","0.003173828125","1560","0.00038363194515572484","32","0.00038363194515572484","0","0.00038363194515572484","0.00038363194515572484","8:0.0026968197385730808;10:0.0024268941364355145","8:68;10:68","8:0.0024704302210911133;10:0.0020620910258602188","0.0211181640625","Yes"
"10","258.76158844291706","242.21514345204986","0.048095703125","0.022705078125","0.073486328125","1560","0.00018277897312385627","32","0.00018277897312385627","0","0.00018277897312385627","0.00018277897312385627","9:0.0024268941364355145;11:0.0015570953540699484","9:68;11:68","9:0.0020620910258602188;11:0.0013437496065064058","0.048095703125","Yes"
"11","131.36679872949682","153.93872519014081","0.012939453125","0.012939453125","0.012939453125","1560","0.00021133203855551404","32","0.00021133203855551404","0","0.00021133203855551404","0.00021133203855551404","10:0.0015570953540699484;12:0.004085424552043304","10:68;12:68","10:0.0013437496065064058;12:0.006795904135819264","0.012939453125","Yes"
"12","241.9768097044093","276.2090415620819","0.026123046875","0.016845703125","0.035400390625","1560","0.00022653847160778568","32","0.00022653847160778568","0","0.00022653847160778568","0.00022653847160778568","18:0.0021819029222297504;13:0.002676035833417245;11:0.004085424552043304","18:68;13:68;11:68","18:0.0018440907794669836;13:0.0027593162618680667;11:0.006795904135819264","0.026123046875","Yes"
"13","127.60044394294901","77.76479728406493","0.0313720703125","0.026611328125","0.0361328125","1560","0.00032512477308124847","32","0.00032512477308124847","0","0.00032512477308124847","0.00032512477308124847","12:0.002676035833417245;14:0.0016777107491535437","12:68;14:68","12:0.0027593162618680667;14:0.0018370908124741014","0.0313720703125","Yes"
"14","292.8028499755317","149.72680527036417","0.02734375","0.0126953125","0.0419921875","1560","0.00014557396522274992","32","0.00014557396522274992","0","0.00014557396522274992","0.00014557396522274992","13:0.0016777107491535437","13:68","13:0.0018370908124741014","0.02734375","Yes"
"15","194.17621043155577","37.69949026022876","0.0220947265625","0.0390625","0.005126953125","1560","0.0006159968201306039","32","0.0006159968201306039","0","0.0006159968201306039","0.0006159968201306039","0:0.0019490210762811155;19:0.005227226768317245","0:68;19:80","0:0.0023419273138650942;19:0.0056802910867287115","0.0220947265625","Yes"
"16","177.17508282945715","122.66347214402799","0.0203857421875","0.0166015625","0.024169921875","1560","0.0002122454209527491","32","0.0002122454209527491","0","0.0002122454209527491","0.0002122454209527491","23:0.0034891084974054687;4:0.0020266647013158223","23:184;4:80","23:0.002716825516053206;4:0.0018067934672253982","0.0203857421875","Yes"
"17","154.25434089654541","86.91848218552397","0.006591796875","0.006591796875","0.006591796875","1560","0.0006861764331980193","32","0.0006861764331980193","0","0.0006861764331980193","0.0006861764331980193","27:0.003284438693193753;8:0.002608132653492773","27:160;8:108","27:0.0030950671003082686;8:0.0031350524184699524","0.006591796875","Yes"
"18","149.1179713783204","157.57897712970492","0.0054931640625","0.003173828125","0.0078125","1560","0.00027980122071928756","32","0.00027980122071928756","0","0.00027980122071928756","0.00027980122071928756","12:0.0021819029222297504;31:0.012367588235634303","12:68;31:68","12:0.0018440907794669836;31:0.009389168092962974","0.0054931640625","Yes"
"19","140.17922609974178","200.68542057014446","0.0611572265625","0.081787109375","0.04052734375","1560","0.00087561964745883","32","0.00087561964745883","0","0.00087561964745883","0.00087561964745883","20:0.00513023115308156;15:0.005227226768317245","20:108;15:80","20:0.004572011272251458;15:0.0056802910867287115","0.0611572265625","Yes"
"20","247.6517138026948","119.89955302597268","0.0191650390625","0.023193359375","0.01513671875","1560","0.00016855697993665332","32","0.00016855697993665332","0","0.00016855697993665332","0.00016855697993665332","19:0.00513023115308156","19:108;21:68","19:0.004572011272251458","0.0191650390625","Yes"
"21","55.15682361691468","19.16555327471978","0.0699462890625","0.062744140625","0.0771484375","1560","0.0008315914922621379","32","0.0008315914922621379","0","0.0008315914922621379","0.0008315914922621379","34:0.0023823757629317377;22:0.004859848407653022","34:68;20:68;22:68","34:0.002179863468290355","0.0699462890625","Yes"
"22","75.02576908091037","92.36382560901573","0.03125","0.04248046875","0.02001953125","1560","0.00044942608487741196","32","0.00044942608487741196","0","0.00044942608487741196","0.00044942608487741196","23:0.00394968790571798;21:0.004859848407653022","23:68;21:68","23:0.00404943599401289","0.03125","Yes"
"23","113.51242511195895","128.01079948294054","0.09765625","0.16455078125","0.056640625","1560","0.0002405626428736241","32","0.0002405626428736241","0","0.0002405626428736241","0.0002405626428736241","22:0.00394968790571798;24:0.0012542795698133047;16:0.0034891084974054687","22:68;24:68;16:184","22:0.00404943599401289;24:0.001519240544895245;16:0.002716825516053206","0.09765625","Yes"
"24","160.80364987897414","163.91129533299514","0.034912109375","0.0224609375","0.04736328125","1560","0.00030964322887079744","32","0.00030964322887079744","0","0.00030964322887079744","0.00030964322887079744","23:0.0012542795698133047;25:0.001805606028098622","23:68;25:68","23:0.001519240544895245;25:0.001873310321639815","0.034912109375","Yes"
"25","205.97106807418345","135.72509638725472","0.1005859375","0.0927734375","0.1083984375","1560","0.0004865697147420231","32","0.0004865697147420231","0","0.0004865697147420231","0.0004865697147420231","24:0.001805606028098622;26:0.00150931273164992;35:0.011249726821429745","24:68;26:68;35:108","24:0.001873310321639815;26:0.0014601265774567551;35:0.010221865961736715","0.1005859375","Yes"
"26","70.19682782146786","81.19696885313245","0.0333251953125","0.035400390625","0.03125","1560","0.00021562946104235293","32","0.00021562946104235293","0","0.00021562946104235293","0.00021562946104235293","25:0.00150931273164992;27:0.0017133568085460071","25:68;27:68","25:0.0014601265774567551;27:0.0018013719845411946","0.0333251953125","Yes"
"27","89.31913438759048","110.71079717994428","0.0533447265625","0.0361328125","0.070556640625","1560","0.0003306808580923042","32","0.0003306808580923042","0","0.0003306808580923042","0.0003306808580923042","26:0.0017133568085460071;28:0.001941676011148169;17:0.003284438693193753","26:68;28:80;17:160","26:0.0018013719845411946;28:0.0022681137297641263;17:0.0030950671003082686","0.0533447265625","Yes"
"28","163.78416641328627","143.3034395669388","0.0106201171875","0.013916015625","0.00732421875","1560","0.00026948732169585073","32","0.00026948732169585073","0","0.00026948732169585073","0.00026948732169585073","27:0.001941676011148169;29:0.003220710657785314","27:80;29:116","27:0.0022681137297641263;29:0.003531636782008657","0.0106201171875","Yes"
"29","169.4224995242574","150.2002268767948","0.0238037109375","0.016845703125","0.03076171875","1560","0.0003132601744868336","32","0.0003132601744868336","0","0.0003132601744868336","0.0003132601744868336","36:0.0020572286686297014;28:0.003220710657785314;30:0.0022683485315388996","36:68;28:116;30:68","36:0.0023851790784745197;28:0.003531636782008657;30:0.0017542688264817752","0.0238037109375","Yes"
"30","138.4748909623871","116.69060428203696","0.020751953125","0.01220703125","0.029296875","1560","0.00024071058951275701","32","0.00024071058951275701","0","0.00024071058951275701","0.00024071058951275701","31:0.0022475316989830074;29:0.0022683485315388996","31:68;29:68","31:0.0018594679963508942;29:0.0017542688264817752","0.020751953125","Yes"
"31","236.71606719512133","186.11993930769697","0.0611572265625","0.036865234375","0.08544921875","1560","0.00024354872748123165","32","0.00024354872748123165","0","0.00024354872748123165","0.00024354872748123165","30:0.0022475316989830074;32:0.0026314556805882294;18:0.012367588235634303","30:68;32:68;18:68","30:0.0018594679963508942;32:0.0019740147577214373;18:0.009389168092962974","0.0611572265625","Yes"
"32","197.36788335357272","152.39625006045435","0.0166015625","0.0234375","0.009765625","1560","0.00025124405314365026","32","0.00025124405314365026","0","0.00025124405314365026","0.00025124405314365026","31:0.0026314556805882294;33:0.001838198062258295","31:68;33:68","31:0.0019740147577214373;33:0.0015775770864174254","0.0166015625","Yes"
"33","216.7477830336102","65.25048001453935","0.0400390625","0.021240234375","0.058837890625","1560","0.0002783650984680841","32","0.0002783650984680841","0","0.0002783650984680841","0.0002783650984680841","37:0.003246557002774736;32:0.001838198062258295","37:88;32:68","37:0.003073526395369175;32:0.0015775770864174254","0.0400390625","Yes"
"34","188.03756395898034","75.93451984535322","0.0438232421875","0.046142578125","0.04150390625","1560","0.0003674024905322377","32","0.0003674024905322377","0","0.0003674024905322377","0.0003674024905322377","21:0.0023823757629317377;40:0.0023590675251284887","21:68;40:96","21:0.002179863468290355;40:0.0023798078644942655","0.0438232421875","Yes"
"35","97.4632479837902","57.47931194129928","0.0164794921875","0.01123046875","0.021728515625","1560","0.0006049048477972693","32","0.0006049048477972693","0","0.0006049048477972693","0.0006049048477972693","44:0.1532713067901709;25:0.011249726821429745","44:108;25:108","25:0.010221865961736715","0.0164794921875","Yes"
"36","94.4429364545814","122.48860598417107","0.0048828125","0.0068359375","0.0029296875","1560","0.0005379527693538813","32","0.0005379527693538813","0","0.0005379527693538813","0.0005379527693538813","48:0.0014946300225869291;29:0.0020572286686297014","48:68;29:68","48:0.0015753846315087194;29:0.0023851790784745197","0.0048828125","Yes"
