"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"10","264.1731196169907","151.06971217195658","0.502197265625","0.2763671875","0.72802734375","1560","0.00023778762806048013","24","0.00023778762806048013","0","0.00023778762806048013","0.00023778762806048013","9:68;11:68","9:0.0023489644948661847;11:0.006085423289750647","9:0.0020853520818699123;11:0.007330442084637678","0.502197265625","Yes"
"11","170.86360777998436","91.725533218205","0.469482421875","0.3798828125","0.55908203125","1560","0.0006281997475528369","24","0.0006281997475528369","0","0.0006281997475528369","0.0006281997475528369","18:68;10:68;12:68","18:0.014544667191172034;10:0.006085423289750647;12:0.004294405262891432","18:0.01682673851680544;10:0.007330442084637678;12:0.0050667607999204944","0.469482421875","Yes"
"12","58.11095652810862","58.60060964981653","0.4697265625","0.43408203125","0.50537109375","1560","0.0003955345311459065","24","0.0003955345311459065","0","0.0003955345311459065","0.0003955345311459065","13:68;11:68","13:0.004031817299691737;11:0.004294405262891432","13:0.004120375497904949;11:0.0050667607999204944","0.4697265625","Yes"
"13","359.28825569928415","218.65280439766224","0.44873046875","0.41943359375","0.47802734375","1560","0.00032045957564170763","24","0.00032045957564170763","0","0.00032045957564170763","0.00032045957564170763","12:68;14:68","12:0.004031817299691737;14:0.0017651989890472286","12:0.004120375497904949;14:0.005319470511617519","0.44873046875","Yes"
"14","251.75858743710617","82.61216973336975","0.505615234375","0.19091796875","0.8203125","1560","0.00022241822761430452","24","0.00022241822761430452","0","0.00022241822761430452","0.00022241822761430452","15:68;13:68","15:0.002245151815471913;13:0.0017651989890472286","15:0.0044908534394434985;13:0.005319470511617519","0.505615234375","Yes"
"15","405.05460451409937","193.17129097467227","0.440673828125","0.40380859375","0.4775390625","1560","0.00017349995163177701","24","0.00017349995163177701","0","0.00017349995163177701","0.00017349995163177701","14:68;19:68","14:0.002245151815471913;19:0.002324103682215667","14:0.0044908534394434985;19:0.001958641689128904","0.440673828125","Yes"
"16","169.98731301909035","146.2365573231614","0.493408203125","0.2548828125","0.73193359375","1560","0.0003917593362734014","24","0.0003917593362734014","0","0.0003917593362734014","0.0003917593362734014","23:68;3:68","23:0.002114221414402956;3:0.0019288845563029955","23:0.003425791323396127;3:0.001985655036459838","0.493408203125","Yes"
"17","157.84122764008487","28.969467124234438","0.004638671875","0.0068359375","0.00244140625","1560","0.0003521019467615371","24","0.0003521019467615371","0","0.0003521019467615371","0.0003521019467615371","7:68;27:68","7:0.003653159377696391;27:0.02571066823934451","7:0.003710172502022907;27:0.033503571989208975","0.004638671875","Yes"
"18","117.12991102710158","57.22163506542085","0.49755859375","0.3056640625","0.689453125","1560","0.0003928598978036785","24","0.0003928598978036785","0","0.0003928598978036785","0.0003928598978036785","11:68;31:68","11:0.014544667191172034;31:0.003645099034821242","11:0.01682673851680544;31:0.004454133237859176","0.49755859375","Yes"
"19","158.5926065851488","167.91024675586974","0.51318359375","0.2421875","0.7841796875","1560","0.000361902188246397","24","0.000361902188246397","0","0.000361902188246397","0.000361902188246397","35:68;15:68","35:0.001971816230666612;15:0.002324103682215667","35:0.002781983457193715;15:0.001958641689128904","0.51318359375","Yes"
"20","172.49478309432","183.23384504794922","0.507568359375","0.4833984375","0.53173828125","1560","0.00041263425180221313","24","0.00041263425180221313","0","0.00041263425180221313","0.00041263425180221313","21:68","21:0.005183914203371304","21:0.008003838709823047","0.507568359375","Yes"
"21","274.0107299746818","186.32179773663188","0.480224609375","0.52197265625","0.4384765625","1560","0.00015905409848824596","24","0.00015905409848824596","0","0.00015905409848824596","0.00015905409848824596","36:68;20:68;22:68","36:0.006357733676297661;20:0.005183914203371304;22:0.0031938386371632155","36:0.003261740210268982;20:0.008003838709823047;22:0.004379568926735133","0.480224609375","Yes"
"22","177.09188795402855","113.64870263645751","0.481689453125","0.4111328125","0.55224609375","1560","0.0002997326181937888","24","0.0002997326181937888","0","0.0002997326181937888","0.0002997326181937888","23:68;21:68","23:0.0018559802587689023;21:0.0031938386371632155","23:0.002842454303591313;21:0.004379568926735133","0.481689453125","Yes"
"23","191.11800348076451","160.94673155980433","0.471923828125","0.404296875","0.53955078125","1560","0.00014879070164155325","24","0.00014879070164155325","0","0.00014879070164155325","0.00014879070164155325","22:68;24:68;16:68","22:0.0018559802587689023;24:0.004140759135365046;16:0.002114221414402956","22:0.002842454303591313;24:0.003325493125015039;16:0.003425791323396127","0.471923828125","Yes"
"24","194.94790264486824","200.70969200620087","0.012451171875","0.02001953125","0.0048828125","1560","0.0009426638017387046","24","0.0009426638017387046","0","0.0009426638017387046","0.0009426638017387046","23:68;25:68","23:0.004140759135365046;25:0.029353869188788295","23:0.003325493125015039;25:0.018630626348335372","0.012451171875","Yes"
"25","179.7718515486968","128.2120023237202","0.00732421875","0.0107421875","0.00390625","1560","0.00016733085667564818","24","0.00016733085667564818","0","0.00016733085667564818","0.00016733085667564818","24:68;26:68;37:68","24:0.029353869188788295;26:0.0023710143176266796;37:0.007671204555484812","24:0.018630626348335372;26:0.002071198562630161;37:0.00391134244048541","0.00732421875","Yes"
"26","115.29528844632452","76.95954147466988","0.0078125","0.009765625","0.005859375","1560","0.00028194231366578283","24","0.00028194231366578283","0","0.00028194231366578283","0.00028194231366578283","25:68;27:68","25:0.0023710143176266796;27:0.034228954536008466","25:0.002071198562630161;27:0.11386372110097154","0.0078125","Yes"
"27","115.95312879348931","119.2765693870538","0.010498046875","0.0185546875","0.00244140625","1560","0.006089809674517227","24","0.006089809674517227","0","0.006089809674517227","0.006089809674517227","26:68;28:68;17:68","26:0.034228954536008466;17:0.02571066823934451","26:0.11386372110097154;28:0.06377715516588817;17:0.033503571989208975","0.010498046875","Yes"
"28","209.03499108333145","226.93727963169187","0.489990234375","0.4345703125","0.54541015625","1560","0.00019821569663273084","24","0.00019821569663273084","0","0.00019821569663273084","0.00019821569663273084","27:68;29:68","29:0.004368073115142562","27:0.06377715516588817;29:0.003007348763160528","0.489990234375","Yes"
"29","170.7852461233308","50.73445029822116","0.46142578125","0.4326171875","0.490234375","1560","0.00018332899671718144","24","0.00018332899671718144","0","0.00018332899671718144","0.00018332899671718144","38:68;28:68;30:68","38:0.001654168115616722;28:0.004368073115142562;30:0.002014543541952435","38:0.00475835470308128;28:0.003007348763160528;30:0.0025138497266406767","0.46142578125","Yes"
"30","166.31337066118357","125.19920240563992","0.500244140625","0.40234375","0.59814453125","1560","0.00011316606805108433","24","0.00011316606805108433","0","0.00011316606805108433","0.00011316606805108433","31:68;29:68","31:0.003055889144391727;29:0.002014543541952435","31:0.005029606315003959;29:0.0025138497266406767","0.500244140625","Yes"
"31","84.33489926691574","64.54147340761936","0.473388671875","0.3955078125","0.55126953125","1560","0.000517373985122426","24","0.000517373985122426","0","0.000517373985122426","0.000517373985122426","30:68;32:68;18:68","30:0.003055889144391727;32:0.05867036769494108;18:0.003645099034821242","30:0.005029606315003959;32:0.00782438544759051;18:0.004454133237859176","0.473388671875","Yes"
"32","127.60408987109233","111.99761610498226","0.4990234375","0.47314453125","0.52490234375","1560","0.00023504006234321666","24","0.00023504006234321666","0","0.00023504006234321666","0.00023504006234321666","31:68;33:68","31:0.05867036769494108","31:0.00782438544759051","0.4990234375","Yes"
"33","137.88068985762973","117.10200647349188","0.474853515625","0.431640625","0.51806640625","1560","0.000188073618379805","24","0.000188073618379805","0","0.000188073618379805","0.000188073618379805","39:68;32:68;34:68","39:0.0019116903422986553;34:0.0021346163124369433","39:0.0029030189995235545;34:0.00394641341309529","0.474853515625","Yes"
