"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","161.82733281634913","213.09000288801062","0.142333984375","0.157470703125","0.127197265625","1560","0.0003312621980586898","32","0.0003312621980586898","0","0.0003312621980586898","0.0003312621980586898","15:0.0022425040028163645;1:0.002335071006964201","15:68;1:68","15:0.0025793825679911453;1:0.0022646674540919565","0.142333984375","Yes"
"1","278.84665818991635","193.97520986998174","0.0574951171875","0.034912109375","0.080078125","1560","0.0001590372833156105","32","0.0001590372833156105","0","0.0001590372833156105","0.0001590372833156105","2:0.002767388495095169;0:0.002335071006964201","2:68;0:68","2:0.0024060222152455513;0:0.0022646674540919565","0.0574951171875","Yes"
"2","172.98398403527318","162.21101417411467","0.0394287109375","0.0595703125","0.019287109375","1560","0.0002520093488185133","32","0.0002520093488185133","0","0.0002520093488185133","0.0002520093488185133","1:0.002767388495095169;3:0.0020031562456086505","1:68;3:68","1:0.0024060222152455513;3:0.0019132682843638338","0.0394287109375","Yes"
"3","246.76659875495972","187.96836131309448","0.0228271484375","0.0224609375","0.023193359375","1560","0.00021775230941775762","32","0.00021775230941775762","0","0.00021775230941775762","0.00021775230941775762","2:0.0020031562456086505;4:0.0017615847420596187","2:68;4:68","2:0.0019132682843638338;4:0.0016082649199879728","0.0228271484375","Yes"
"4","133.37064106830837","177.79637994051507","0.039306640625","0.04345703125","0.03515625","1560","0.0003621360826782123","32","0.0003621360826782123","0","0.0003621360826782123","0.0003621360826782123","3:0.0017615847420596187;5:0.0031017924069419445;16:0.002121484146104413","3:68;5:68;16:80","3:0.0016082649199879728;5:0.0021049475060385403;16:0.002522794134075218","0.039306640625","Yes"
"5","204.86981147241625","197.67257969006963","0.03466796875","0.02685546875","0.04248046875","1560","0.0002339251799386572","32","0.0002339251799386572","0","0.0002339251799386572","0.0002339251799386572","6:0.0029031543606824195;4:0.0031017924069419445","6:68;4:68","6:0.002855199556581478;4:0.0021049475060385403","0.03466796875","Yes"
"6","44.1449244526462","66.33121687003201","0.0159912109375","0.0341796875","0.005126953125","1560","0.0008265160529178032","32","0.0008265160529178032","0","0.0008265160529178032","0.0008265160529178032","5:0.0029031543606824195;7:0.0028986556471437275","5:68;7:68","5:0.002855199556581478;7:0.003477688638819032","0.0159912109375","Yes"
"7","256.44592241794726","150.06323646123465","0.0843505859375","0.05859375","0.110107421875","1560","0.0005270316457951495","32","0.0005270316457951495","0","0.0005270316457951495","0.0005270316457951495","6:0.0028986556471437275;8:0.0022577315480258875","6:68;8:68","6:0.003477688638819032;8:0.0025637620101917336","0.0843505859375","Yes"
"8","239.72564587717014","220.34692153044733","0.0670166015625","0.05810546875","0.075927734375","1560","0.00047249212229458405","32","0.00047249212229458405","0","0.00047249212229458405","0.00047249212229458405","9:0.002169096911979862;17:0.0025499244432408696;7:0.0022577315480258875","9:68;17:108;7:68","9:0.002333277083160029;17:0.002797287239520274;7:0.0025637620101917336","0.0670166015625","Yes"
"9","118.78114211378421","80.44191443050448","0.02197265625","0.040771484375","0.003173828125","1560","0.00025886116378336663","32","0.00025886116378336663","0","0.00025886116378336663","0.00025886116378336663","8:0.002169096911979862;10:0.002058642463995064","8:68;10:68","8:0.002333277083160029;10:0.0016249878483191593","0.02197265625","Yes"
