"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"51","69.03228001401438","75.41128376319345","0.121337890625","0.10791015625","0.134765625","1560","0.00034496318165545","24","0.00034496318165545","0","0.00034496318165545","0.00034496318165545","50:68;52:68;58:68","50:0.0021004150368462426;52:0.0025733885454343464;58:0.003208430159654163","50:0.0033346255929054547;52:0.002336653493066776;58:0.0017599070169103115","0.121337890625","Yes"
"52","158.71300405935514","132.2894222065743","0.01416015625","0.02294921875","0.00537109375","1560","0.0002382283186380159","24","0.0002382283186380159","0","0.0002382283186380159","0.0002382283186380159","51:68;53:68","51:0.0025733885454343464;53:0.002732096334477241","51:0.002336653493066776;53:0.002447160099264989","0.01416015625","Yes"
"53","205.96038562593384","12.490205865552726","0.094970703125","0.1025390625","0.08740234375","1560","0.00021582951450873288","24","0.00021582951450873288","0","0.00021582951450873288","0.00021582951450873288","39:68;52:68;54:68","39:0.006070858286786857;52:0.002732096334477241;54:0.00487705129996735","39:0.003938640727117748;52:0.002447160099264989;54:0.006462581784182964","0.094970703125","Yes"
"54","159.3454265480642","169.58329463931574","0.0068359375","0.01123046875","0.00244140625","1560","0.0004959618242682868","24","0.0004959618242682868","0","0.0004959618242682868","0.0004959618242682868","53:68;55:68","53:0.00487705129996735;55:0.00264367792420675","53:0.006462581784182964;55:0.002580621488961876","0.0068359375","Yes"
"55","191.89769688162028","166.9796650162767","0.07763671875","0.12255859375","0.03271484375","1560","0.00024186024265619884","24","0.00024186024265619884","0","0.00024186024265619884","0.00024186024265619884","59:68;54:68","59:0.002626280782637408;54:0.00264367792420675","59:0.009450503039238972;54:0.002580621488961876","0.07763671875","Yes"
"56","189.27840046462842","232.96746345957015","0.0107421875","0.0126953125","0.0087890625","1560","0.00025958701472111455","24","0.00025958701472111455","0","0.00025958701472111455","0.00025958701472111455","63:68;43:68","63:0.005549631826703788;43:0.004829996567879996","63:0.006190541740524441;43:0.007021886710600611","0.0107421875","Yes"
"57","131.8192690449022","63.984563576721385","0.009033203125","0.013671875","0.00439453125","1560","0.0032829515915222224","24","0.0032829515915222224","0","0.0032829515915222224","0.0032829515915222224","47:68;67:68","47:0.005636541215648466;67:0.015484651984586123","47:0.0025966042994550464;67:0.005428296466449711","0.009033203125","Yes"
"58","111.29332078179786","115.54445006820545","0.010498046875","0.01806640625","0.0029296875","1560","0.0004730106775141616","24","0.0004730106775141616","0","0.0004730106775141616","0.0004730106775141616","71:68;51:68","71:0.002039990994315344;51:0.003208430159654163","71:0.0015443793359385671;51:0.0017599070169103115","0.010498046875","Yes"
"59","143.99526152033567","131.22615292890367","0.009521484375","0.0126953125","0.00634765625","1560","0.00030055187961842305","24","0.00030055187961842305","0","0.00030055187961842305","0.00030055187961842305","55:68;75:68","55:0.002626280782637408;75:0.0025005563962731125","55:0.009450503039238972;75:0.002910658072257266","0.009521484375","Yes"
"60","164.84683209102735","45.82497719844469","0.0458984375","0.0576171875","0.0341796875","1560","0.0004955855813476923","24","0.0004955855813476923","0","0.0004955855813476923","0.0004955855813476923","61:68","61:0.002196396831526004","61:0.0017983867858969993","0.0458984375","Yes"
"61","205.26124436349235","110.26614170220734","0.062744140625","0.080078125","0.04541015625","1560","0.0002436701069422867","24","0.0002436701069422867","0","0.0002436701069422867","0.0002436701069422867","76:68;60:68;62:68","76:0.0026386094206811983;60:0.002196396831526004;62:0.002293241428116599","76:0.0024105245798753394;60:0.0017983867858969993;62:0.00206733864058814","0.062744140625","Yes"
"62","151.8703549518248","45.36324353240049","0.04931640625","0.03759765625","0.06103515625","1560","0.0002824651031192743","24","0.0002824651031192743","0","0.0002824651031192743","0.0002824651031192743","61:68;63:68","61:0.002293241428116599;63:0.005898763115827932","61:0.00206733864058814;63:0.0075893696180201475","0.04931640625","Yes"
"63","155.9002502225005","14.310446732219361","0.046630859375","0.0634765625","0.02978515625","1560","0.0005772883047290236","24","0.0005772883047290236","0","0.0005772883047290236","0.0005772883047290236","56:68;62:68;64:68","56:0.005549631826703788;62:0.005898763115827932;64:0.06119737165436895","56:0.006190541740524441;62:0.0075893696180201475;64:0.0848448011119351","0.046630859375","Yes"
"64","116.77032685527547","124.547798554921","0.005126953125","0.00927734375","0.0009765625","1560","0.0003216525371792592","24","0.0003216525371792592","0","0.0003216525371792592","0.0003216525371792592","65:68;63:68","65:0.0029040262201931732;63:0.06119737165436895","65:0.0027507609172120195;63:0.0848448011119351","0.005126953125","Yes"
"65","125.97956625405739","61.775310462031825","0.096923828125","0.09423828125","0.099609375","1560","0.0002751104464614943","24","0.0002751104464614943","0","0.0002751104464614943","0.0002751104464614943","64:68;66:68;77:68","64:0.0029040262201931732;66:0.0023783468487440507;77:0.004457077491778649","64:0.0027507609172120195;66:0.0035347435253303416;77:0.0032547550263496428","0.096923828125","Yes"
"66","84.32210410233135","18.26096890019352","0.01123046875","0.01318359375","0.00927734375","1560","0.0003302646140244493","24","0.0003302646140244493","0","0.0003302646140244493","0.0003302646140244493","65:68;67:68","65:0.0023783468487440507;67:0.0028561447132586515","65:0.0035347435253303416;67:0.0028781577874015807","0.01123046875","Yes"
"67","149.05353283000247","60.06858027041167","0.0537109375","0.05078125","0.056640625","1560","0.0003895144201812007","24","0.0003895144201812007","0","0.0003895144201812007","0.0003895144201812007","68:68;57:68;66:68","68:0.002446960443188817;57:0.015484651984586123;66:0.0028561447132586515","68:0.002147692313326177;57:0.005428296466449711;66:0.0028781577874015807","0.0537109375","Yes"
"68","124.59168154512474","94.71155585612223","0.013427734375","0.01904296875","0.0078125","1560","0.00027204055342691994","24","0.00027204055342691994","0","0.00027204055342691994","0.00027204055342691994","67:68;69:68","67:0.002446960443188817;69:0.002850321601064215","67:0.002147692313326177;69:0.004604856010797714","0.013427734375","Yes"
"69","205.50887208142768","106.04287065331236","0.031494140625","0.046875","0.01611328125","1560","0.0002728851225940345","24","0.0002728851225940345","0","0.0002728851225940345","0.0002728851225940345","78:68;68:68;70:68","78:0.001926042061199701;68:0.002850321601064215;70:0.004332543444202974","78:0.001548729877695748;68:0.004604856010797714;70:0.0021989660900583463","0.031494140625","Yes"
"70","127.01210499433937","106.63456610325719","0.008056640625","0.01416015625","0.001953125","1560","0.00024371673201433938","24","0.00024371673201433938","0","0.00024371673201433938","0.00024371673201433938","69:68;71:68","69:0.004332543444202974;71:0.003405017876444233","69:0.0021989660900583463;71:0.0024283415973889444","0.008056640625","Yes"
