"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","145.8888651324745","172.76881498230753","0.1317138671875","0.13720703125","0.126220703125","1560","0.000368663446487081","32","0.000368663446487081","0","0.000368663446487081","0.000368663446487081","15:0.002264717459431159;1:0.002347457635046929","15:68;1:68","15:0.0019273168812047603;1:0.003028095724776525","0.1317138671875","Yes"
"1","154.2851703432824","138.8276970040069","0.0537109375","0.0361328125","0.0712890625","1560","0.0004069726984779971","32","0.0004069726984779971","0","0.0004069726984779971","0.0004069726984779971","2:0.002794104265295999;0:0.002347457635046929","2:68;0:68","2:0.0026921209143762614;0:0.003028095724776525","0.0537109375","Yes"
"2","149.65229768919787","132.18561452494072","0.054443359375","0.07568359375","0.033203125","1560","0.00032871505300701397","32","0.00032871505300701397","0","0.00032871505300701397","0.00032871505300701397","1:0.002794104265295999;3:0.0015973884172522657","1:68;3:68","1:0.0026921209143762614;3:0.0013470370661166076","0.054443359375","Yes"
"3","234.31234805849357","198.6870057479938","0.019775390625","0.01513671875","0.0244140625","1560","0.00022205400297419246","32","0.00022205400297419246","0","0.00022205400297419246","0.00022205400297419246","2:0.0015973884172522657;4:0.0016171487984251165","2:68;4:68","2:0.0013470370661166076;4:0.0015404933948673094","0.019775390625","Yes"
"4","133.24862181388116","206.4106376396265","0.0498046875","0.05078125","0.048828125","1560","0.00016176715466027276","32","0.00016176715466027276","0","0.00016176715466027276","0.00016176715466027276","3:0.0016171487984251165;5:0.002161022375981203;16:0.002006455223345638","3:68;5:68;16:80","3:0.0015404933948673094;5:0.0017139699516483808;16:0.0020750503159072953","0.0498046875","Yes"
"5","261.11808499282046","200.33755526337853","0.032958984375","0.02099609375","0.044921875","1560","0.00026601240037542356","32","0.00026601240037542356","0","0.00026601240037542356","0.00026601240037542356","6:0.001995337868372027;4:0.002161022375981203","6:68;4:68","6:0.0020489666655407746;4:0.0017139699516483808","0.032958984375","Yes"
"6","40.63589389628362","69.03232401776124","0.0133056640625","0.02392578125","0.003173828125","1560","0.0005623709612507146","32","0.0005623709612507146","0","0.0005623709612507146","0.0005623709612507146","5:0.001995337868372027;7:0.0026353264468839677","5:68;7:68","5:0.0020489666655407746;7:0.0023860427640171877","0.0133056640625","Yes"
"7","135.29914906693327","91.76967357707403","0.073486328125","0.05615234375","0.0908203125","1560","0.000596794282654697","32","0.000596794282654697","0","0.000596794282654697","0.000596794282654697","6:0.0026353264468839677;8:0.0018306367657268119","6:68;8:68","6:0.0023860427640171877;8:0.0019445955329113473","0.073486328125","Yes"
"8","266.7894941480694","155.53227964448078","0.069091796875","0.0556640625","0.08251953125","1560","0.0003529615659605207","32","0.0003529615659605207","0","0.0003529615659605207","0.0003529615659605207","9:0.002122177122388269;17:0.0027519087358081895;7:0.0018306367657268119","9:68;17:108;7:68","9:0.0019453736886392015;17:0.003020581200382788;7:0.0019445955329113473","0.069091796875","Yes"
"9","111.06885655166336","89.78620230327593","0.0218505859375","0.036376953125","0.00732421875","1560","0.00028527445129274966","32","0.00028527445129274966","0","0.00028527445129274966","0.00028527445129274966","8:0.002122177122388269;10:0.002164058860949919","8:68;10:68","8:0.0019453736886392015;10:0.002121948449533534","0.0218505859375","Yes"
"10","296.3090288458015","309.308682033349","0.0452880859375","0.026611328125","0.06396484375","1560","0.0001586266717774131","32","0.0001586266717774131","0","0.0001586266717774131","0.0001586266717774131","9:0.002164058860949919;11:0.0015783627122044341","9:68;11:68","9:0.002121948449533534;11:0.0011596427296324818","0.0452880859375","Yes"
"11","129.9580206295596","169.15109338831374","0.0130615234375","0.012451171875","0.013671875","1560","0.00032091293730634785","32","0.00032091293730634785","0","0.00032091293730634785","0.00032091293730634785","10:0.0015783627122044341;12:0.005881846806381125","10:68;12:68","10:0.0011596427296324818;12:0.002645819821397777","0.0130615234375","Yes"
"12","119.61951408535697","146.0676640005774","0.0213623046875","0.016845703125","0.02587890625","1560","0.00016641918498870156","32","0.00016641918498870156","0","0.00016641918498870156","0.00016641918498870156","18:0.001691055789848378;13:0.001769730957615484;11:0.005881846806381125","18:68;13:68;11:68","18:0.0021083795207725298;13:0.0014574366891250967;11:0.002645819821397777","0.0213623046875","Yes"
"13","269.5386447486698","217.25223443886657","0.02880859375","0.02734375","0.0302734375","1560","0.00018390105273945474","32","0.00018390105273945474","0","0.00018390105273945474","0.00018390105273945474","12:0.001769730957615484;14:0.0016751724368770093","12:68;14:68","12:0.0014574366891250967;14:0.0019946992940242103","0.02880859375","Yes"
"14","268.9436756953716","161.33833297724465","0.0302734375","0.021240234375","0.039306640625","1560","0.00013165315872398027","32","0.00013165315872398027","0","0.00013165315872398027","0.00013165315872398027","13:0.0016751724368770093","13:68","13:0.0019946992940242103","0.0302734375","Yes"
"15","188.91128256482565","38.65139903874","0.0177001953125","0.029296875","0.006103515625","1560","0.0005581924065021795","32","0.0005581924065021795","0","0.0005581924065021795","0.0005581924065021795","0:0.002264717459431159;19:0.003544307630153287","0:68;19:80","0:0.0019273168812047603;19:0.0033564051369938397","0.0177001953125","Yes"
"16","188.52800548251267","153.55517613145716","0.033203125","0.0244140625","0.0419921875","1560","0.00025372166094353123","32","0.00025372166094353123","0","0.00025372166094353123","0.00025372166094353123","23:0.004295069259133505;4:0.002006455223345638","23:184;4:80","23:0.00393764195592225;4:0.0020750503159072953","0.033203125","Yes"
"17","153.19610038988134","94.55810932881808","0.007568359375","0.01025390625","0.0048828125","1560","0.0004226633313908905","32","0.0004226633313908905","0","0.0004226633313908905","0.0004226633313908905","27:0.0032340412882459757;8:0.0027519087358081895","27:160;8:108","27:0.00293173676254857;8:0.003020581200382788","0.007568359375","Yes"
"18","228.70127188076822","194.20205510566882","0.010009765625","0.00927734375","0.0107421875","1560","0.000261799472559094","32","0.000261799472559094","0","0.000261799472559094","0.000261799472559094","12:0.001691055789848378;31:0.00750533095657252","12:68;31:68","12:0.0021083795207725298;31:0.009754675392039613","0.010009765625","Yes"
"19","140.17922609974178","219.81576558083546","0.0621337890625","0.0791015625","0.045166015625","1560","0.000873321266109176","32","0.000873321266109176","0","0.000873321266109176","0.000873321266109176","20:0.0032906815596317196;15:0.003544307630153287","20:108;15:80","20:0.0032672060395921576;15:0.0033564051369938397","0.0621337890625","Yes"
"20","166.919624936274","108.74472149298676","0.013671875","0.017333984375","0.010009765625","1560","0.00016926576360854365","32","0.00016926576360854365","0","0.00016926576360854365","0.00016926576360854365","19:0.0032906815596317196;21:0.006467549074515105","19:108;21:68","19:0.0032672060395921576;21:0.004628561817606347","0.013671875","Yes"
"21","66.59600544880236","21.82256284849586","0.065673828125","0.063232421875","0.068115234375","1560","0.0006701613371817169","32","0.0006701613371817169","0","0.0006701613371817169","0.0006701613371817169","34:0.002593335430540994;20:0.006467549074515105;22:0.003993042246146078","34:68;20:68;22:68","34:0.002030384035861754;20:0.004628561817606347","0.065673828125","Yes"
