"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"25","410.40192967169105","267.4851206609067","0.2723388671875","0.168212890625","0.37646484375","2400","0.00046096017746764724","32","0.00046096017746764724","0","0.00046096017746764724","0.00046096017746764724","15:0.0025948996568319893;24:0.0022823061099467024;26:0.0022284070909597;35:0.0029956051933110184","15:288;24:148;26:128;35:208","0.2723388671875","Yes"
"26","433.3544457042011","281.71700068038086","0.4029541015625","0.3310546875","0.474853515625","2400","0.00020110805053804933","32","0.00020110805053804933","0","0.00020110805053804933","0.00020110805053804933","16:0.0016347012096913915;25:0.0022284070909597;27:0.002105326179490302;36:0.003342816213542932","16:248;25:128;27:88;36:268","0.4029541015625","Yes"
"27","328.4717347221427","228.0718355859077","0.3201904296875","0.337890625","0.302490234375","2400","0.0001459671339141532","32","0.0001459671339141532","0","0.0001459671339141532","0.0001459671339141532","26:0.002105326179490302;28:0.036303589079984044;17:0.0017626243642229755;37:0.0024015095523854113","26:88;28:108;17:128;37:108","0.3201904296875","Yes"
"28","124.6848511642598","142.44305575027116","0.482666015625","0.01220703125","0.953125","2400","0.0009390583993555811","32","0.0009390583993555811","0","0.0009390583993555811","0.0009390583993555811","18:0.04033243001015993;27:0.036303589079984044;29:0.026339922183844844","18:88;27:108;29:68;38:228","0.482666015625","Yes"
"29","285.99885814123337","276.962714471457","0.3084716796875","0.172119140625","0.44482421875","2400","0.00046851121668553287","32","0.00046851121668553287","0","0.00046851121668553287","0.00046851121668553287","19:0.0025542933754716113;28:0.026339922183844844;39:0.004719981020195468","19:88;28:68;39:128","0.3084716796875","Yes"
"30","306.29062489702375","409.6316819614582","0.351318359375","0.254638671875","0.447998046875","2400","0.0001105964424224809","32","0.0001105964424224809","0","0.0001105964424224809","0.0001105964424224809","20:0.0015607304213696993;31:0.001380531766400378;40:0.0017237250675243843","20:128;31:188;40:128","0.351318359375","Yes"
"31","441.13804637816753","486.9950877106039","0.463623046875","0.2373046875","0.68994140625","2400","0.00012191561985662972","32","0.00012191561985662972","0","0.00012191561985662972","0.00012191561985662972","30:0.001380531766400378;32:0.0017610681428224806;41:0.002018396810042955","30:188;32:188;21:180;41:128","0.463623046875","Yes"
"32","283.7018799422834","231.1090577401064","0.3621826171875","0.33642578125","0.387939453125","2400","0.00031799752015812045","32","0.00031799752015812045","0","0.00031799752015812045","0.00031799752015812045","22:0.0036649023616926735;31:0.0017610681428224806;33:0.004913040900449972;42:0.0029504816156371294","22:168;31:188;33:208;42:188","0.3621826171875","Yes"
"33","464.56623019046623","292.2783912348741","0.4588623046875","0.146484375","0.771240234375","2400","0.0002140609548583075","32","0.0002140609548583075","0","0.0002140609548583075","0.0002140609548583075","23:0.0013828958218149723;32:0.004913040900449972;34:0.0026484754936424715;43:0.002190061487272632","23:148;32:208;34:128;43:248","0.4588623046875","Yes"
"34","177.00466313012407","158.6152930826299","0.3677978515625","0.274169921875","0.46142578125","2400","0.00029179760205750584","32","0.00029179760205750584","0","0.00029179760205750584","0.00029179760205750584","24:0.0020621169495320946;33:0.0026484754936424715;35:0.0026227350933637206;44:0.002520002255226028","24:128;33:128;35:68;44:128","0.3677978515625","Yes"
"35","396.201107819366","248.3876278192928","0.4056396484375","0.200439453125","0.61083984375","2400","0.0002200485184638452","32","0.0002200485184638452","0","0.0002200485184638452","0.0002200485184638452","25:0.0029956051933110184;36:0.002153398290338393;45:0.003806666976015005;34:0.0026227350933637206","25:208;36:108;45:148;34:68","0.4056396484375","Yes"
"36","312.1395159947358","223.58380558251804","0.2940673828125","0.1279296875","0.460205078125","2400","0.00017705086175038966","32","0.00017705086175038966","0","0.00017705086175038966","0.00017705086175038966","46:0.0026351791093884303;26:0.003342816213542932;35:0.002153398290338393;37:0.0018036152948122386","46:148;26:268;35:108;37:88","0.2940673828125","Yes"
"37","479.5549429425831","256.7813507951923","0.3980712890625","0.01318359375","0.683837890625","2400","0.00020882929367865106","32","0.00020882929367865106","0","0.00020882929367865106","0.00020882929367865106","27:0.0024015095523854113;36:0.0018036152948122386;38:0.0016778364385492683;47:0.011955015779617495","27:108;36:88;38:148;47:148","0.3980712890625","Yes"
"38","357.802294463171","250.85486749355908","0.35107421875","0.298828125","0.4033203125","2400","0.0001445599568729853","32","0.0001445599568729853","0","0.0001445599568729853","0.0001445599568729853","39:0.004189263285514472;48:0.17110378253205058;37:0.0016778364385492683","39:168;48:188;28:228;37:148","0.35107421875","Yes"
"39","369.98619164875737","323.29848298414186","0.4267578125","0.2080078125","0.6455078125","2400","0.0001331231992332342","32","0.0001331231992332342","0","0.0001331231992332342","0.0001331231992332342","38:0.004189263285514472;29:0.004719981020195468;49:0.002280477867949493","38:168;29:128;49:208","0.4267578125","Yes"
"40","227.18311268803313","394.9619467496036","0.5927734375","0.29052734375","0.89501953125","2400","0.0001232022143287517","32","0.0001232022143287517","0","0.0001232022143287517","0.0001232022143287517","41:0.001413696083563537;50:0.0016315686618792458;30:0.0017237250675243843","41:128;50:128;30:128","0.5927734375","Yes"
"41","307.1560727944297","243.02007115476306","0.4447021484375","0.152587890625","0.73681640625","2400","0.0001787609588950748","32","0.0001787609588950748","0","0.0001787609588950748","0.0001787609588950748","40:0.001413696083563537;42:0.0020249921468639687;51:0.0013793152554740506;31:0.002018396810042955","40:128;42:128;51:128;31:128","0.4447021484375","Yes"
"42","391.4230676067022","282.10126379393387","0.52734375","0.132080078125","0.922607421875","2400","0.00011971761300770585","32","0.00011971761300770585","0","0.00011971761300770585","0.00011971761300770585","41:0.0020249921468639687;43:0.002459924045561057;52:0.0030419531711967096;32:0.0029504816156371294","41:128;43:128;52:128;32:188","0.52734375","Yes"
"43","428.19930519298885","305.20562388216536","0.37158203125","0.2041015625","0.5390625","2400","0.00017252283589859593","32","0.00017252283589859593","0","0.00017252283589859593","0.00017252283589859593","42:0.002459924045561057;44:0.0036688073629650153;33:0.002190061487272632;53:0.001733451189507601","42:128;44:188;33:248;53:128","0.37158203125","Yes"
"44","381.9758579739686","194.55412054194488","0.5037841796875","0.16748046875","0.840087890625","2400","0.0002841118649914558","32","0.0002841118649914558","0","0.0002841118649914558","0.0002841118649914558","45:0.007391770491852995;54:0.0034946454579238007;43:0.0036688073629650153;34:0.002520002255226028","45:508;54:128;43:188;34:128","0.5037841796875","Yes"
"45","316.57630483152724","195.92969653952716","0.294921875","0.239990234375","0.349853515625","2400","0.00024401469593655074","32","0.00024401469593655074","0","0.00024401469593655074","0.00024401469593655074","44:0.007391770491852995;46:0.0025374032707105587;55:0.0019746577087587647;35:0.003806666976015005","44:508;46:128;55:128;35:148","0.294921875","Yes"
"46","319.742111164427","200.76558545319287","0.41357421875","0.202880859375","0.624267578125","2400","0.000260831113051244","32","0.000260831113051244","0","0.000260831113051244","0.000260831113051244","36:0.0026351791093884303;45:0.0025374032707105587;47:0.004492868404643746;56:0.002383713765132106","36:148;45:128;47:208;56:188","0.41357421875","Yes"
"47","398.4076553611718","250.46557607948728","0.2979736328125","0.273193359375","0.32275390625","2400","0.0002437431696877585","32","0.0002437431696877585","0","0.0002437431696877585","0.0002437431696877585","48:0.0174343141959232;57:0.002820030822479641;46:0.004492868404643746;37:0.011955015779617495","48:128;57:168;46:208;37:148","0.2979736328125","Yes"
"48","337.294081346948","412.2135969778451","0.4310302734375","0.241455078125","0.62060546875","2400","0.0003016167612541608","32","0.0003016167612541608","0","0.0003016167612541608","0.0003016167612541608","47:0.0174343141959232;49:0.01883994625372959;38:0.17110378253205058;58:0.08884490111143857","47:128;49:128;38:188;58:248","0.4310302734375","Yes"
"49","351.5662039617783","321.6987194355968","0.29296875","0.2412109375","0.3447265625","2400","0.0002921003333530314","32","0.0002921003333530314","0","0.0002921003333530314","0.0002921003333530314","48:0.01883994625372959;59:0.0016215486312232963;39:0.002280477867949493","48:128;59:128;39:208","0.29296875","Yes"
"50","362.71665488096204","350.3947948499501","0.3541259765625","0.169921875","0.538330078125","2400","0.00014960732193010465","32","0.00014960732193010465","0","0.00014960732193010465","0.00014960732193010465","40:0.0016315686618792458;51:0.002352319023053412;60:0.02479965162304615","40:128;51:128;60:68","0.3541259765625","Yes"
"51","292.9173051274528","237.12521025086076","0.4881591796875","0.136962890625","0.83935546875","2400","0.00023943501322830528","32","0.00023943501322830528","0","0.00023943501322830528","0.00023943501322830528","41:0.0013793152554740506;50:0.002352319023053412;52:0.002221788755899873;61:0.0023415049248421693","41:128;50:128;52:128;61:128","0.4881591796875","Yes"
"52","217.47279889171696","165.13076623419536","0.401123046875","0.32421875","0.47802734375","2400","0.0001343335033515164","32","0.0001343335033515164","0","0.0001343335033515164","0.0001343335033515164","42:0.0030419531711967096;51:0.002221788755899873;53:0.0014611712087617967;62:0.014827184229025098","42:128;51:128;53:128;62:128","0.401123046875","Yes"
"53","460.68588527479756","247.08327394678278","0.4793701171875","0.10888671875","0.849853515625","2400","0.00020706487696027474","32","0.00020706487696027474","0","0.00020706487696027474","0.00020706487696027474","52:0.0014611712087617967;54:0.0025571138312514563;63:0.0033273801694402583;43:0.001733451189507601","52:128;54:148;63:228;43:128","0.4793701171875","Yes"
"54","357.96188360801244","220.88960388033283","0.366455078125","0.0166015625","0.4658203125","2400","0.0002055690600322332","32","0.0002055690600322332","0","0.0002055690600322332","0.0002055690600322332","44:0.0034946454579238007;53:0.0025571138312514563;55:0.0038907994971751347;64:0.003397977291618337","44:128;53:148;55:228;64:208","0.366455078125","Yes"
"55","339.18411798702067","225.75333038130196","0.3380126953125","0.180419921875","0.49560546875","2400","0.00025496143307447645","32","0.00025496143307447645","0","0.00025496143307447645","0.00025496143307447645","56:0.001940480338918027;45:0.0019746577087587647;65:0.0022743685773488342;54:0.0038907994971751347","56:168;45:128;65:148;54:228","0.3380126953125","Yes"
"56","363.51169750106425","260.2350528334115","0.344482421875","0.30419921875","0.384765625","2400","0.00018308853062950565","32","0.00018308853062950565","0","0.00018308853062950565","0.00018308853062950565","55:0.001940480338918027;46:0.002383713765132106;57:0.002109265277540795;66:0.0021641745328374873","55:168;46:188;57:128;66:128","0.344482421875","Yes"
"57","344.7296330584445","282.645638400355","0.3172607421875","0.166015625","0.468505859375","2400","0.0003269136173468648","32","0.0003269136173468648","0","0.0003269136173468648","0.0003269136173468648","47:0.002820030822479641;56:0.002109265277540795;58:0.0017143255629915866;67:0.003617684548086031","47:168;56:128;58:168;67:308","0.3172607421875","Yes"
