"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","51.99156952582205","51.68240788194661","0.01318359375","0.024658203125","0.001708984375","1560","0.0016820357367454282","24","0.0016820357367454282","0","0.0016820357367454282","0.0016820357367454282","1:0.007527196685408244","1:68","1:0.009310179901311388","0.01318359375","Yes"
"1","193.86683805555663","243.21028601181624","0.0233154296875","0.030029296875","0.0166015625","1560","0.00022615489489865616","24","0.00022615489489865616","0","0.00022615489489865616","0.00022615489489865616","2:0.0024657264429738535;0:0.007527196685408244","2:68;0:68","2:0.002726389302842802;0:0.009310179901311388","0.0233154296875","Yes"
"2","248.69567492883613","169.9457089179691","0.0037841796875","0.00390625","0.003662109375","1560","0.00016892765999647317","24","0.00016892765999647317","0","0.00016892765999647317","0.00016892765999647317","1:0.0024657264429738535;3:0.0016902208285757558","1:68;3:68","1:0.002726389302842802;3:0.001827746466715352","0.0037841796875","Yes"
"3","259.44173619097506","224.7274724758816","0.0220947265625","0.021484375","0.022705078125","1560","0.00019066740815529244","24","0.00019066740815529244","0","0.00019066740815529244","0.00019066740815529244","16:0.0019149028338270313;2:0.0016902208285757558;4:0.0018317479510673862","16:68;2:68;4:68","16:0.0017743261278497235;2:0.001827746466715352;4:0.0018874586818232453","0.0220947265625","Yes"
"4","185.12078654146035","28.863651668483215","0.0050048828125","0.006591796875","0.00341796875","1560","0.00035343920446095423","24","0.00035343920446095423","0","0.00035343920446095423","0.00035343920446095423","3:0.0018317479510673862;5:0.00245897428020328","3:68;5:68","3:0.0018874586818232453;5:0.0018238840114991883","0.0050048828125","Yes"
"5","177.7001063121416","135.01432080655985","0.007568359375","0.012451171875","0.002685546875","1560","0.0002179352292411105","24","0.0002179352292411105","0","0.0002179352292411105","0.0002179352292411105","6:0.002181525490538433;4:0.00245897428020328","6:68;4:68","6:0.0020491385685222907;4:0.0018238840114991883","0.007568359375","Yes"
"6","174.33399583355015","119.15736017561811","0.0068359375","0.004638671875","0.009033203125","1560","0.0003109306508563566","24","0.0003109306508563566","0","0.0003109306508563566","0.0003109306508563566","5:0.002181525490538433;7:0.002565565914677853","5:68;7:68","5:0.0020491385685222907;7:0.0027289884138604614","0.0068359375","Yes"
"7","162.35727101883728","40.41329570744727","0.02490234375","0.03271484375","0.01708984375","1560","0.00037428698181222125","24","0.00037428698181222125","0","0.00037428698181222125","0.00037428698181222125","17:0.0026687083506218845;6:0.002565565914677853;8:0.0028719245129773807","17:68;6:68;8:68","17:0.002797324354822106;6:0.0027289884138604614;8:0.0033368219123487697","0.02490234375","Yes"
"8","181.26953512381542","43.81531697493802","0.010498046875","0.016357421875","0.004638671875","1560","0.000356255259554165","24","0.000356255259554165","0","0.000356255259554165","0.000356255259554165","9:0.0025350506143375917;7:0.0028719245129773807","9:68;7:68","9:0.002333534044199559;7:0.0033368219123487697","0.010498046875","Yes"
"9","190.81608155646742","28.04655522980255","0.009521484375","0.00927734375","0.009765625","1560","0.0001809807421906867","24","0.0001809807421906867","0","0.0001809807421906867","0.0001809807421906867","8:0.0025350506143375917;10:0.002683012143393282","8:68;10:68","8:0.002333534044199559;10:0.001426197457247702","0.009521484375","Yes"
"10","229.1938894406325","117.54749087717529","0.00732421875","0.009765625","0.00439453125","1560","0.00014125000887638115","24","0.00014125000887638115","0","0.00014125000887638115","0.00014125000887638115","9:0.002683012143393282;11:0.010865962584871797","9:68;11:68","9:0.001426197457247702;11:0.006411962558850626","0.00732421875","Yes"
"11","123.39397770010633","77.86422238276215","0.0198974609375","0.019287109375","0.0205078125","1560","0.0020327637127979465","24","0.0020327637127979465","0","0.0020327637127979465","0.0020327637127979465","18:0.014484995386427363;10:0.010865962584871797;12:0.009119195572930422","18:68;10:68;12:68","18:0.016359012230253933;10:0.006411962558850626;12:0.004968878959730888","0.0198974609375","Yes"
"12","61.637809889182705","55.32029249429212","0.0283203125","0.0400390625","0.0166015625","1560","0.00032918863930152156","24","0.00032918863930152156","0","0.00032918863930152156","0.00032918863930152156","13:0.0022388951758839093;11:0.009119195572930422","13:68;11:68","13:0.003483485832007277;11:0.004968878959730888","0.0283203125","Yes"
"13","313.7823895462633","202.32131039441722","0.0203857421875","0.019775390625","0.02099609375","1560","0.000158969038435399","24","0.000158969038435399","0","0.000158969038435399","0.000158969038435399","12:0.0022388951758839093;14:0.001801843185348484","12:68;14:68","12:0.003483485832007277;14:0.0024836218882842986","0.0203857421875","Yes"
"14","225.6022864770394","71.5869949412627","0.005859375","0.00634765625","0.00537109375","1560","0.00045446187432751894","24","0.00045446187432751894","0","0.00045446187432751894","0.00045446187432751894","15:0.008887000243840981;13:0.001801843185348484","15:68;13:68","15:0.016685522077941856;13:0.0024836218882842986","0.005859375","Yes"
"15","357.33077412307944","205.1658136388354","0.0184326171875","0.025390625","0.011474609375","1560","0.0009201431161392559","24","0.0009201431161392559","0","0.0009201431161392559","0.0009201431161392559","14:0.008887000243840981;19:0.008548117422578771","14:68;19:68","14:0.016685522077941856;19:0.015752079319052786","0.0184326171875","Yes"
"16","208.379820903178","161.37792436438224","0.00439453125","0.00732421875","0.00146484375","1560","0.00030539736150631523","24","0.00030539736150631523","0","0.00030539736150631523","0.00030539736150631523","23:0.001921237727643299;3:0.0019149028338270313","23:68;3:68","23:0.0019582027324979434;3:0.0017743261278497235","0.00439453125","Yes"
"17","133.2538818169382","102.80571720774245","0.0069580078125","0.0078125","0.006103515625","1560","0.0003073490883909757","24","0.0003073490883909757","0","0.0003073490883909757","0.0003073490883909757","7:0.0026687083506218845;27:0.029632520521422262","7:68;27:68","7:0.002797324354822106;27:0.036421322154927244","0.0069580078125","Yes"
"18","98.44543593211945","63.76386341138715","0.006591796875","0.011962890625","0.001220703125","1560","0.0004058291290643629","24","0.0004058291290643629","0","0.0004058291290643629","0.0004058291290643629","11:0.014484995386427363;31:0.0034554766655749136","11:68;31:68","11:0.016359012230253933;31:0.003038909309228316","0.006591796875","Yes"
"19","177.35829133865528","167.7831344811794","0.0093994140625","0.010986328125","0.0078125","1560","0.0002836697297616724","24","0.0002836697297616724","0","0.0002836697297616724","0.0002836697297616724","35:0.0015244536167525191;15:0.008548117422578771","35:68;15:68","35:0.0020100113469454783;15:0.015752079319052786","0.0093994140625","Yes"
"20","213.59472237995695","214.86781598041966","0.0076904296875","0.009765625","0.005615234375","1560","0.0003499864845459845","24","0.0003499864845459845","0","0.0003499864845459845","0.0003499864845459845","21:0.008479774730564993","21:68","21:0.0052587241829788745","0.0076904296875","Yes"
"21","177.67999838949444","143.29067095979806","0.0086669921875","0.01416015625","0.003173828125","1560","0.00035749129078820903","24","0.00035749129078820903","0","0.00035749129078820903","0.00035749129078820903","36:0.006730046779690579;20:0.008479774730564993;22:0.0026774072792735415","36:68;20:68;22:68","36:0.004805604263987517;20:0.0052587241829788745;22:0.00197249410620548","0.0086669921875","Yes"
"22","185.04529463980234","128.14933725290538","0.0064697265625","0.01123046875","0.001708984375","1560","0.0001558004674867573","24","0.0001558004674867573","0","0.0001558004674867573","0.0001558004674867573","23:0.0030072115476792727;21:0.0026774072792735415","23:68;21:68","23:0.0021760202086654745;21:0.00197249410620548","0.0064697265625","Yes"
"23","183.30010494469045","145.3580150725578","0.004150390625","0.005859375","0.00244140625","1560","0.00023742028750883235","24","0.00023742028750883235","0","0.00023742028750883235","0.00023742028750883235","22:0.0030072115476792727;24:0.006104585687811387;16:0.001921237727643299","22:68;24:68;16:68","22:0.0021760202086654745;24:0.003592541874912508;16:0.0019582027324979434","0.004150390625","Yes"
"24","211.0879848530496","182.51488191912182","0.0084228515625","0.007568359375","0.00927734375","1560","0.0008111362435052696","24","0.0008111362435052696","0","0.0008111362435052696","0.0008111362435052696","23:0.006104585687811387;25:0.021669966022294845","23:68;25:68","23:0.003592541874912508;25:0.015755929136981733","0.0084228515625","Yes"
"25","174.53118642198777","116.37233796603226","0.0206298828125","0.01708984375","0.024169921875","1560","0.0002549607894716623","24","0.0002549607894716623","0","0.0002549607894716623","0.0002549607894716623","24:0.021669966022294845;26:0.0032137860640424065;37:0.0028487921613981337","24:68;26:68;37:68","24:0.015755929136981733;26:0.002601773983382072;37:0.0015802495863312116","0.0206298828125","Yes"
"26","130.10324639128183","92.88436802193989","0.009765625","0.013427734375","0.006103515625","1560","0.00029543888651498417","24","0.00029543888651498417","0","0.00029543888651498417","0.00029543888651498417","25:0.0032137860640424065;27:0.037541555999346665","25:68;27:68","25:0.002601773983382072;27:0.03241666653182482","0.009765625","Yes"
"27","80.19534644686001","99.2656813910892","0.008544921875","0.017578125","0.000732421875","1560","0.004359107961143684","24","0.004359107961143684","0","0.004359107961143684","0.004359107961143684","26:0.037541555999346665;17:0.029632520521422262","26:68;28:68;17:68","26:0.03241666653182482;28:0.06377715516588817;17:0.036421322154927244","0.008544921875","Yes"
"28","197.006829747806","207.30727247541856","0.007568359375","0.01220703125","0.0029296875","1560","0.00025072896472439784","24","0.00025072896472439784","0","0.00025072896472439784","0.00025072896472439784","29:0.0033007495845035206","27:68;29:68","27:0.06377715516588817;29:0.002553309566467349","0.007568359375","Yes"
"29","195.54306082842234","48.197006091838645","0.00927734375","0.0126953125","0.005859375","1560","0.00020501789304281967","24","0.00020501789304281967","0","0.00020501789304281967","0.00020501789304281967","38:0.0022916119671624324;28:0.0033007495845035206;30:0.0022170166230682242","38:68;28:68;30:68","38:0.0021697099005316134;28:0.002553309566467349;30:0.001961679214208617","0.00927734375","Yes"
"30","99.08214242673857","100.22449645866746","0.0074462890625","0.0107421875","0.004150390625","1560","0.00026548748367343893","24","0.00026548748367343893","0","0.00026548748367343893","0.00026548748367343893","31:0.002964874365334852;29:0.0022170166230682242","31:68;29:68","31:0.0029346930881087585;29:0.001961679214208617","0.0074462890625","Yes"
"31","96.10776374079809","61.73551674769351","0.0159912109375","0.017578125","0.014404296875","1560","0.0005614474407095036","24","0.0005614474407095036","0","0.0005614474407095036","0.0005614474407095036","30:0.002964874365334852;32:0.037328590308540355;18:0.0034554766655749136","30:68;32:68;18:68","30:0.0029346930881087585;32:0.007011577404164665;18:0.003038909309228316","0.0159912109375","Yes"
"32","166.5746762823051","129.82444060280744","0.0296630859375","0.0283203125","0.031005859375","1560","0.0002157640006142916","24","0.0002157640006142916","0","0.0002157640006142916","0.0002157640006142916","31:0.037328590308540355","31:68;33:68","31:0.007011577404164665","0.0296630859375","Yes"
"33","141.09176745954184","181.18241319128606","0.0162353515625","0.024658203125","0.0078125","1560","0.0002511491603412929","24","0.0002511491603412929","0","0.0002511491603412929","0.0002511491603412929","39:0.00184115007258423;34:0.003363133689856551","39:68;32:68;34:68","39:0.0017066946412898076;34:0.0025432932276375775","0.0162353515625","Yes"
"34","109.84361143271221","61.86371666698342","0.0091552734375","0.01025390625","0.008056640625","1560","0.0005327771917340682","24","0.0005327771917340682","0","0.0005327771917340682","0.0005327771917340682","33:0.003363133689856551;35:0.0025369344818594874","33:68;35:68","33:0.0025432932276375775;35:0.00263244112824379","0.0091552734375","Yes"
"35","172.88583168348106","42.66888910636889","0.0128173828125","0.018798828125","0.0068359375","1560","0.00016412804686772705","24","0.00016412804686772705","0","0.00016412804686772705","0.00016412804686772705","19:0.0015244536167525191;34:0.0025369344818594874","19:68;34:68","19:0.0020100113469454783;34:0.00263244112824379","0.0128173828125","Yes"
"36","170.56133120485111","131.4771234444654","0.005615234375","0.005126953125","0.006103515625","1560","0.0004057794969879604","24","0.0004057794969879604","0","0.0004057794969879604","0.0004057794969879604","41:0.002431157453523042;21:0.006730046779690579","41:68;21:68","41:0.0020676350840950486;21:0.004805604263987517","0.005615234375","Yes"
"37","207.9487790489836","247.09134475257378","0.00927734375","0.00927734375","0.00927734375","1560","0.00030357909191819154","24","0.00030357909191819154","0","0.00030357909191819154","0.00030357909191819154","45:0.002720083981396837;25:0.0028487921613981337","45:68;25:68","45:0.001985136030594886;25:0.0015802495863312116","0.00927734375","Yes"
"38","108.45068555687726","123.00543646278864","0.0111083984375","0.014892578125","0.00732421875","1560","0.0002715107906785048","24","0.0002715107906785048","0","0.0002715107906785048","0.0002715107906785048","29:0.0022916119671624324;49:0.010924206188657554","29:68;49:68","29:0.0021697099005316134;49:0.0026910553281340177","0.0111083984375","Yes"
"39","148.23433257367833","185.03094072347625","0.0155029296875","0.021484375","0.009521484375","1560","0.0005156745735128407","24","0.0005156745735128407","0","0.0005156745735128407","0.0005156745735128407","53:0.001462411122785584;33:0.00184115007258423","53:68;33:68","53:0.0018109851283630851;33:0.0017066946412898076","0.0155029296875","Yes"
"40","177.68074900524803","205.9450137788304","0.0172119140625","0.02001953125","0.014404296875","1560","0.00033658100051665006","24","0.00033658100051665006","0","0.00033658100051665006","0.00033658100051665006","41:0.0032371979622042024","41:68","41:0.00250214471424276","0.0172119140625","Yes"
"41","208.95498080733404","173.6482602840562","0.066650390625","0.083984375","0.04931640625","1560","0.00015921958549542118","24","0.00015921958549542118","0","0.00015921958549542118","0.00015921958549542118","40:0.0032371979622042024;42:0.0022827454057862406;36:0.002431157453523042","40:68;42:68;36:68","40:0.00250214471424276;42:0.0023864931296190828;36:0.0020676350840950486","0.066650390625","Yes"
"42","160.550919646443","45.03109016928751","0.0147705078125","0.016845703125","0.0126953125","1560","0.00028460961324139165","24","0.00028460961324139165","0","0.00028460961324139165","0.00028460961324139165","41:0.0022827454057862406;43:0.002599790107660288","41:68;43:68","41:0.0023864931296190828;43:0.007510154783571865","0.0147705078125","Yes"
"43","202.3211717790016","93.1595646099571","0.0926513671875","0.083251953125","0.10205078125","1560","0.0006776356071599147","24","0.0006776356071599147","0","0.0006776356071599147","0.0006776356071599147","42:0.002599790107660288;56:0.0025232733668947294;44:0.0030435778843333205","42:68;56:68;44:68","42:0.007510154783571865;56:0.005496367799634583;44:0.03152917841260902","0.0926513671875","Yes"
"44","203.88484103622798","139.33835102136985","0.00439453125","0.00927734375","0.001708984375","1560","0.00036502005656770264","24","0.00036502005656770264","0","0.00036502005656770264","0.00036502005656770264","45:0.0030123369788821464;43:0.0030435778843333205","45:68;43:68","45:0.0020779539635406297;43:0.03152917841260902","0.00439453125","Yes"
"45","218.4447094961588","198.19096965810223","0.0408935546875","0.044189453125","0.03759765625","1560","0.00017781739371587165","24","0.00017781739371587165","0","0.00017781739371587165","0.00017781739371587165","44:0.0030123369788821464;46:0.0027341827535411756;37:0.002720083981396837","44:68;46:68;37:68","44:0.0020779539635406297;46:0.0027007612872478604;37:0.001985136030594886","0.0408935546875","Yes"
