"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","51.99156952582205","44.31180003839878","0.0101318359375","0.019287109375","0.0009765625","1560","0.0016331615972566477","24","0.0016331615972566477","0","0.0016331615972566477","0.0016331615972566477","1:0.007855013214562112","1:68","1:0.006990846268155382","0.0101318359375","Yes"
"1","182.4735346874724","255.22111706472865","0.022216796875","0.024658203125","0.019775390625","1560","0.0002496347642204909","24","0.0002496347642204909","0","0.0002496347642204909","0.0002496347642204909","2:0.002176101018454918;0:0.007855013214562112","2:68;0:68","2:0.0018343603868108682;0:0.006990846268155382","0.022216796875","Yes"
"2","262.5302990272411","165.3038373232601","0.0052490234375","0.005126953125","0.00537109375","1560","0.00021208468087655842","24","0.00021208468087655842","0","0.00021208468087655842","0.00021208468087655842","1:0.002176101018454918;3:0.001776693249215644","1:68;3:68","1:0.0018343603868108682;3:0.001969318577825979","0.0052490234375","Yes"
"3","212.66831960201438","150.25594914404527","0.02197265625","0.0224609375","0.021484375","1560","0.00021151466010586656","24","0.00021151466010586656","0","0.00021151466010586656","0.00021151466010586656","16:0.0014071357052591882;2:0.001776693249215644;4:0.0017116261841136626","16:68;2:68;4:68","16:0.001880523566328951;2:0.001969318577825979;4:0.0016592321654280429","0.02197265625","Yes"
"4","128.90009011717208","101.29257717660654","0.00439453125","0.00732421875","0.00146484375","1560","0.00021438507216693924","24","0.00021438507216693924","0","0.00021438507216693924","0.00021438507216693924","3:0.0017116261841136626;5:0.002122774924353449","3:68;5:68","3:0.0016592321654280429;5:0.00203135084854858","0.00439453125","Yes"
"5","225.58748478604582","172.5791147339802","0.005859375","0.0068359375","0.0048828125","1560","0.00020749196178282127","24","0.00020749196178282127","0","0.00020749196178282127","0.00020749196178282127","6:0.0021022686244607236;4:0.002122774924353449","6:68;4:68","6:0.002044680262459131;4:0.00203135084854858","0.005859375","Yes"
"6","188.99018902486725","124.03214857567008","0.009521484375","0.0078125","0.01123046875","1560","0.0002942383338277349","24","0.0002942383338277349","0","0.0002942383338277349","0.0002942383338277349","5:0.0021022686244607236;7:0.002402354439052956","5:68;7:68","5:0.002044680262459131;7:0.002927729727449757","0.009521484375","Yes"
"7","150.949232103357","45.42259635517105","0.0225830078125","0.031982421875","0.01318359375","1560","0.0003934699174185971","24","0.0003934699174185971","0","0.0003934699174185971","0.0003934699174185971","17:0.0026799110270659676;6:0.002402354439052956;8:0.002719944881400732","17:68;6:68;8:68","17:0.0030736708040458582;6:0.002927729727449757;8:0.00280331838343989","0.0225830078125","Yes"
"8","137.92528438334296","43.573344766636986","0.00830078125","0.0126953125","0.00390625","1560","0.00030463757936508696","24","0.00030463757936508696","0","0.00030463757936508696","0.00030463757936508696","9:0.001596225426327702;7:0.002719944881400732","9:68;7:68","9:0.002660533780693336;7:0.00280331838343989","0.00830078125","Yes"
"9","326.16026346961945","27.77533655955555","0.0111083984375","0.010498046875","0.01171875","1560","0.00016101777286552988","24","0.00016101777286552988","0","0.00016101777286552988","0.00016101777286552988","8:0.001596225426327702;10:0.0017682404952053254","8:68;10:68","8:0.002660533780693336;10:0.0016636304682160208","0.0111083984375","Yes"
"10","193.47777803274133","130.11266048751114","0.0035400390625","0.00927734375","0.001953125","1560","0.00018526077494645588","24","0.00018526077494645588","0","0.00018526077494645588","0.00018526077494645588","9:0.0017682404952053254;11:0.006843247340639985","9:68;11:68","9:0.0016636304682160208;11:0.006855008644227195","0.0035400390625","Yes"
"11","129.30319605823027","74.52886279269082","0.028564453125","0.02685546875","0.0302734375","1560","0.0006554289883453836","24","0.0006554289883453836","0","0.0006554289883453836","0.0006554289883453836","18:0.015173400064072334;10:0.006843247340639985;12:0.004218139329426052","18:68;10:68;12:68","18:0.016964025221038598;10:0.006855008644227195;12:0.004749995834314014","0.028564453125","Yes"
"12","60.51712337971546","47.57591434685306","0.0260009765625","0.037109375","0.014892578125","1560","0.00031703940229919875","24","0.00031703940229919875","0","0.00031703940229919875","0.00031703940229919875","13:0.002880073288129198;11:0.004218139329426052","13:68;11:68","13:0.002278160530924972;11:0.004749995834314014","0.0260009765625","Yes"
"13","213.37731218099654","115.66104058752965","0.014404296875","0.014404296875","0.014404296875","1560","0.00037846764696891974","24","0.00037846764696891974","0","0.00037846764696891974","0.00037846764696891974","12:0.002880073288129198;14:0.002518323991962168","12:68;14:68","12:0.002278160530924972;14:0.0020475853661001964","0.014404296875","Yes"
"14","197.03316742498063","66.26044554133618","0.0067138671875","0.00439453125","0.009033203125","1560","0.00026566643326195725","24","0.00026566643326195725","0","0.00026566643326195725","0.00026566643326195725","15:0.002710737395778373;13:0.002518323991962168","15:68;13:68","15:0.0037219807077268074;13:0.0020475853661001964","0.0067138671875","Yes"
"15","233.34749098867283","137.00527677765578","0.0240478515625","0.03173828125","0.016357421875","1560","0.00017243597168743713","24","0.00017243597168743713","0","0.00017243597168743713","0.00017243597168743713","14:0.002710737395778373;19:0.002241676104022927","14:68;19:68","14:0.0037219807077268074;19:0.00319158068943709","0.0240478515625","Yes"
"16","128.20295930569264","119.02258523153826","0.0037841796875","0.0068359375","0.000732421875","1560","0.0003540918158388927","24","0.0003540918158388927","0","0.0003540918158388927","0.0003540918158388927","23:0.0020376955593273405;3:0.0014071357052591882","23:68;3:68","23:0.0014982015762931289;3:0.001880523566328951","0.0037841796875","Yes"
"17","195.29327940727893","119.60624003013692","0.0069580078125","0.009765625","0.004150390625","1560","0.00014043094790700176","24","0.00014043094790700176","0","0.00014043094790700176","0.00014043094790700176","7:0.0026799110270659676;27:0.028921292196901177","7:68;27:68","7:0.0030736708040458582;27:0.03948422839389895","0.0069580078125","Yes"
"18","88.97828104926202","59.12448774705268","0.008544921875","0.01318359375","0.00390625","1560","0.00047926567749681097","24","0.00047926567749681097","0","0.00047926567749681097","0.00047926567749681097","11:0.015173400064072334;31:0.003537794437807912","11:68;31:68","11:0.016964025221038598;31:0.0031788085185477655","0.008544921875","Yes"
